CountryName,CountryCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Australia,AUS,59.16999817,59.02999878,59.33000183,59.81999969,60.04000092,61.15999985,61.65999985,61.859,60.35,55.23,58.26,56.98,56.23,54.369,54.23
Austria,AUT,55.95999908,55.90000153,56.09999847,56.33000183,53.91999817,55.25999832,55.97999954,57.02000046,57.68999863,52.23,57.47999954,57.72999954,57.81000137,57.66999817,49.54
Belgium,BEL,48.84999847,47.75,47.65000153,47.40000153,48.20000076,48.79999924,48.72999954,49.59999847,45.96,41.23,45.99,44.236,42.265,40.56,39.25
Brazil,BRA,62.23,62.34999847,63.15999985,62.56000137,63.75,51,64.44999695,64.15000153,52.47000122,51.26,53.22999954,54.69,58.69,56.28,55.23
Canada,CAN,61.27000046,61.15000153,61.74000168,62.43999863,62.63999939,62.59999847,62.77999878,63.36999893,63.40999985,55.26,60.236,59.85,58.69,57.58,56.23
Chile,CHL,50.09999847,49.31999969,48.97999954,49.68000031,49.83000183,50.54999924,51.75,52.45999908,53.15000153,50.69,54.89,54.25,52.96,51.69,49.23
China,CHN,72.69,72.56,69.32,68.569,66.32,65.56,64.44000244,63.01999664,62.43000031,51.23,59.18000031,46.23,48.23,49.26,56.47000122
Colombia,COL,51.54000092,57.45999908,56.95000076,58.52000046,57.54000092,58.11000061,48.49000168,56.72999954,56.93000031,53.69,58.69,56.39,55.89,54.69,52.36
Czech Republic,CZE,54.79999924,54.86999893,55.29000092,54.77000046,54.13000107,54.66999817,55.02999878,55.65000153,55.93000031,54.77000046,54.18999863,54.34999847,54.54999924,53.89,52.36
Denmark,DNK,62.59999847,62.43999863,62.83000183,61.93999863,62.5,62.47999954,63.36000061,63.22000122,63.72999954,61.40999985,59.56000137,59.09000015,58.40999985,57.99000168,58.09000015
Estonia,EST,51.06000137,50.59000015,51.47999954,52.31000137,53.00999832,54.02000046,57.04999924,57.77000046,57.77000046,52.49000168,50.38999939,53.75,55.16999817,56.02999878,56.63000107
Finland,FIN,56.18000031,56.77000046,56.63000107,56.25,55.66999817,55.65000153,56.31999969,57.04000092,57.56000137,55.5,54.91999817,55.25,55.15000153,54.29000092,53.84000015
Germany,DEU,52.90999985,53.00999832,52.41999817,51.70999908,50.77000046,51.88999939,52.90999985,54.02999878,54.77999878,54.79000092,55.22999954,56.59000015,56.84000015,57.20000076,57.40000153
Greece,GRC,46.40000153,46.15000153,46.63000107,47.33000183,47.52000046,47.61000061,48.29999924,48.49000168,48.86000061,48.31000137,46.70000076,43.25999832,39.54000092,37.74000168,38.09999847
Hungary,HUN,46.29999924,46.09999847,46.16999817,46.84999847,46.59999847,46.56999969,46.86000061,46.59999847,46.00999832,44.84999847,44.72000122,45.09000015,45.97999954,46.86999893,49.52999878
Iceland,ISL,82.22000122,81.94999695,80.31999969,79.76000214,78.58999634,79.27999878,80.12999725,80.79000092,79.48999786,74.51999664,74.30000305,74.19000244,75.08999634,76.34999847,78.12000275
