CountryName,CountryCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Australia,AUS,15048345265,7722005364,16036456525,28771663192,40641469114,42196079138,43714374664,62931241088,51156776269,48261682640,44133960646,42731460138,73326879492,54632442052,41330997630
Austria,AUT,861004572.5,861004572.5,861004572.5,861004572.5,861004572.5,432238912.7,14807681385,16910232391,14991011007,12752168712,4747983191,6092771594,6606292393,14428098208,3683720121
Belgium,BEL,861004572.5,861004572.5,6427951551,10792944344,9816642160,9219680886,7656953677,7477860362,9651825300,17606170174,6566625885,9334800511,2311334629,139859928.7,4335461696
Brazil,BRA,21314952670,23781471851,7269379921,3882896888,9939595729,14446272466,15456047508,845490103.7,25327461837,23523714800,75899570498,78977306647,73926999991,73803212680,1.01E+11
Canada,CAN,14076577416,10894529538,9312395816,11708509617,24846574692,20398210556,19958335286,13373806960,1298570391,42110803925,58296931444,49314383344,62756650554,56875381218,42304672446
Chile,CHL,450702409.4,1957908443,1435700212,1516473987,2266463415,861004572.5,6463992710,6108987791,5962537286,3558887470,8347078713,4791221708,11973627868,12836124387,5936564903
China,CHN,8590464000,12493000000,43165873537,51227222380,81838473673,1.59E+11,2.39E+11,3.70E+11,4.42E+11,2.06E+11,1.90E+11,1.28E+11,1.33E+11,88331174650,1.69E+11
Colombia,COL,849680646.8,1228224247,1165738905,840574063.1,715130643.7,1507250606,2863613170,5654583498,6921752278,4977828994,9331589675,8707050006,11552237293,11738582179,19291958148
Czech Republic,CZE,2994489526,2780797262,4006311797,5179313979,6030303201,2111660211,3804599582,5670499884,2441671194,4236926445,6446006703,4447523616,668717798.5,3524769286,2947398527
Denmark,DNK,2204780137,9029220081,1716188509,9798490736,17596604270,8988076033,2178124147,3847246866,3067328734,7521923920,1000003098,18665435639,17154407172,13334783459,26883560329
Estonia,EST,270347575.8,316328200.7,696280431.8,1105198913,1445794920,1134587989,2407853816,3211340771,1824152174,1234097968,1098345992,1397871582,656469818.1,585514007.3,425861679.9
Finland,FIN,9220223580,11364284783,7120630937,8623382812,10265215599,3829191386,6924412738,63529571.65,6165065879,6625242475,4369989385,11401703014,22155732915,9376651515,11089394152
