CountryName,CountryCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Australia,AUS,1087319.257,1101419.252,1114019.226,1126933.485,1139033.463,1153033.445,1168604.856,1190162,1214261.988,1239504.835,1258976.261,1276561.983,1298747.742,1321462.06,1342333.511
Austria,AUT,457808.2526,459564.0752,461840.0944,463904.2871,466829.784,470020.5145,472458.8278,474015.4691,475521.2924,476660.8343,477780.0185,479349.412,481508.1003,483922.9135,4152171
Belgium,BEL,585790.5134,587808.7997,590449.5106,592926.6222,595498.34,598782.9256,602745.3082,607187.6416,612003.1756,616947.1391,624020.2621,631304.3781,635904.6454,695904.6454,715904.6454
Brazil,BRA,10380605.33,10533825.19,10685091.89,10832818.68,10976102.85,11114140.14,11246321.81,11372230.69,11491690.89,11604891.76,11712284.28,11814107.63,11910689.92,11911689.92,11921689.92
Canada,CAN,1753513.071,1772520.091,1791642.224,1807985.729,1825186.009,1842587.915,1861494.323,1881576.961,1903870.811,1927256.747,1950092.94,1970517.459,1993175.375,2013175.375,2043175.375
Chile,CHL,879878.9762,889815.8189,899753.0255,909689.9157,919626.9341,929563.9977,939015.0259,948466.3768,957917.5649,967369.0636,976820.6679,985630.5503,994440.7933,1003251.399,1005251.399
China,CHN,640214500.3,643945000.3,647661000.3,651405000.3,655207000.3,659088500.3,663073000.3,667172000.3,671366500.3,675624000.3,679910500.3,684220000.3,688532500.3,692783500.3,6.70E+08
Colombia,COL,2405712.175,2436636.216,2467399.21,2498452.113,2529468.743,2560519.644,2591406.83,2622509.661,2653806.225,2685309.569,2716996.111,2748937.432,2781010.399,2813205.283,2856205.283
Czech Republic,CZE,587004.5039,584243.818,582905.5665,582955.6741,583256.8578,584809.3563,586669.6485,589872.0514,595986.4763,599517.9278,600989.7536,599814.0518,600535.0281,600616.9601,601420.6504
Denmark,DNK,305125.7002,306220.9842,307200.8696,308037.6426,308834.7589,309686.7422,310706.1804,312087.1216,313926.198,315610.4524,317015.543,318323.5392,319523.5857,320858.4573,330005.2
Estonia,EST,78824.19918,78490.91466,78147.82944,77808.21566,77498.98715,77217.72399,76920.75065,76709.09534,76590.95898,76489.97499,76397.97498,76287.21855,75964.57634,75443.26908,26.86581175
Finland,FIN,295776.2647,296461.974,297233.3971,297776.2528,298719.1156,299804.8309,300890.5682,302233.441,303604.8699,305033.4579,306433.4991,307833.5694,309290.7998,310776.5992,29.32877525
Germany,DEU,4697805.142,4705714.976,4713633.282,4716243.634,4715219.835,4712543.249,4707230.693,4700940.397,4692010.638,4680136.618,4672972.403,4630847.721,4595766.235,4608325.262,27.1234175
Greece,GRC,623860.4567,625719.0017,627604.7121,629490.4246,631833.2775,633890.4172,636061.8459,637890.4109,639204.6973,639147.5744,637319.045,635661.9617,633719.1695,632586.3,642598.5
Hungary,HUN,583488.4967,582151.5976,580496.2084,578835.8551,577555.5752,576408.0411,575511.1108,574620.2469,573615.0177,572727.0945,571434.0747,569079.8824,566882.0213,564962.976,24.69306425
Iceland,ISL,16071.21862,16293.99868,16436.92485,16534.88098,16724.24112,16911.50934,17395.23559,17798.77213,18253.50358,18247.25434,18176.37359,18234.04529,26.465861,26.6429455,26.7799315
India,IND,521131000.8,529750500.8,538353000.8,546893500.8,555313000.8,563572000.7,571644500.7,579547500.7,587331000.7,595069000.7,602812500.7,610578000.6,618343500.6,626070000.6,656070000.6
Indonesia,IDN,104469350.7,105985200.7,107519150.7,109072800.7,110646900.7,112240450.7,113854900.7,115486400.7,117121750.7,118743450.7,120338250.7,121900800.6,123432100.6,124932800.6,128932800.6
Ireland,IRL,216550.8915,219846.5007,223846.3913,227432.0354,231163.4172,236227.6398,241888.9864,250056.0582,256298.9262,259053.2652,260276.2114,261430.5806,262022.1129,262465.0731,263416.5904
Israel,ISR,359386.3085,367951.99,375433.3974,382279.099,389087.6599,396010.5033,403070.4872,410294.7556,417649.026,427750.3556,435636.0849,443763.2812,452033.3303,460567.8183,460589.8183
